trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-106.02578446650504,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",30,3,-85.69903226962494,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-42.36953927309394,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-121.59852928453695,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",30,0,-154.16199263107725,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-139.11643848252433,"{0: 12, 1: 2, 2: 10, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-112.94361558184562,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-106.39310055742412,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-12.340249627923912,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-135.84489493286395,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",30,13,-37.433736082640756,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",25,0,-111.50765295798878,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-203.96717465171,"{0: 12, 1: 6, 2: 3, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",30,8,1.446256474048289,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-33.15212248418822,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-102.3138529238921,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",30,11,-88.51820809051776,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-85.61396680812898,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",25,0,-150.38311063450314,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,8,-84.1321151193138,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",30,0,-127.7321954329298,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",25,13,-16.475932156937667,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.794533602503334}",35,6,-167.78239803273246,"{0: 18, 1: 1, 2: 7, 3: 0, 4: 3}",1
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-139.12163134114766,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,9,-56.469882248820454,"{0: 5, 1: 0, 2: 6, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",25,8,-50.84446569405486,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",20,0,-57.75092883614266,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",25,13,-34.2311931026821,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",20,0,-44.860202113951246,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,15,9.757969053263462,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",25,0,-76.60984120278033,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,11,-10.7443031654361,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",25,8,-39.183239163309565,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.7117703227626097}",20,0,-39.011558010426,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,0,-113.76585835076389,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.697676326071031}",25,0,-14.360338376118284,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.6907343306373547}",20,15,12.231539092604798,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.6838614092123558}",30,0,-95.40868176961206,"{0: 17, 1: 3, 2: 10, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.6770568744981647}",35,0,-86.54470651417344,"{0: 25, 1: 2, 2: 7, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,0,-28.513092339967645,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,0,-122.94953600663366,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.6570468198150567}",25,0,-144.38316245973772,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
43,False,"{'a': 0.5, 'e': 0.6505090947233165}",25,0,-53.88296609851112,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6440364210831414}",25,0,-121.20916772040025,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,0,-20.74789023454184,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.631283645506926}",20,0,-105.29499347215818,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.6250022682827008}",25,2,-134.11835611346072,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 3}",1
48,False,"{'a': 0.5, 'e': 0.6187833918061408}",30,0,-49.36176398490521,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.6126263941844161}",35,0,-84.20510583895884,"{0: 26, 1: 3, 2: 4, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-112.73392328562377,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.6004955788122659}",25,8,-72.84748501801536,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,8,-10.856199066633938,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5886049696783552}",25,10,-10.62566250679062,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,0,-3.5524505115604983,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.5769498103804866}",35,0,-69.0104275294302,"{0: 28, 1: 1, 2: 5, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,11,-42.900830825310685,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,0,-31.641638947317773,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.559898366565402}",20,0,-21.890290418292533,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.5543272847345071}",30,12,-7.747791111113085,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.5488116360940265}",25,0,-38.37017045371472,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.5433508690744998}",20,0,9.341469506308565,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.5379444375946745}",20,0,-0.4966899900336821,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.5325918010068972}",20,0,-118.65998470208773,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.5272924240430485}",25,0,-49.179168555127205,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
