trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-201.4442829388887,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.12718221524113,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.0204207241171,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.92222330043026,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.17078623040658,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.45268154058303,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,8,-70.6101404598,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,2,-82.29970659657653,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.53571759166394,"{0: 14, 1: 7, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,6,-106.7466314047197,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.16837854543056,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,6,-19.528389454983877,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.67908887616757,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,3,-150.2720303567932,"{0: 12, 1: 9, 2: 4, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.295846304683135,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.05609486462343,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.5258634412429,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.09287835141131,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,13,-69.84452955377596,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.69421991224375,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.17403704597984,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-157.6093718251798,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-74.05728073131492,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-173.12973536243317,"{0: 20, 1: 3, 2: 10, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,11,-88.62060472562308,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-70.90814125844378,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,13,-11.10400483598218,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-91.57170478875548,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-31.19891553554998,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-133.71281280415957,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
